id_spoti,id_lastfm,artist_name,listeners,popularity,genres,start_date,language
0jdNdfi4vAuVi7a6cPDFBM,dc999240-731a-416d-bb87-816bf47b7984,Lazza,111855,,"rap, trap, hip-hop, alternative hip-hop, hip hop, italian rap, pop rap",2012,ITA
3HL1CyOnDLFJo1Rr8YBlKy,a56f5af0-3e87-4877-b68f-390f62903381,Mina,427852,,"pop, jazz",1958,ITA
4l0PmbNvFq3m5JaUuAPbcB,82462e70-bc00-43ba-8d96-734efa6e72ac,Caparezza,160456,,"rap, hip-hop, italian rap, hip hop, alternative rap, alternative, rock, alternative rock",1995,ITA
2uFUBdaVGtyMqckSeCl0Qj,fa34b363-79df-434f-a5b8-be4e6898543f,Ludovico Einaudi,1848312,,"classical, contemporary classical, instrumental, ambient, neoclassical, minimalism, modern classical, neo-classical",1988,INSTR
1uQWmt1OhuHGRKmZ2ZcL6p,4236acde-2ce2-441c-a3d4-38d55f1b5474,Explosions In The Sky,1463083,,"post-rock, instrumental, ambient, post rock, atmospheric, indie, rock, alternative",1999,INSTR
3Rq3YOF9YG9YfCWD4D56RZ,1595addf-f76b-450a-a097-af852ff35f27,Nujabes,1259806,,"hip-hop, jazz hop, chillout, trip-hop, jazz, instrumental hip-hop, hip hop, instrumental, electronic",1996,INSTR
2VZNmg4vCnew4Pavo8zDdW,509f20b2-5df3-4aec-9bbc-002131fb3f99,Max Richter,1549077,,"ambient, contemporary classical, neoclassical, classical, electronic, modern classical, minimalism, instrumental, post-classical",1994,INSTR
7E3BRXV9ZbCt5lQTCXMTia,6655955b-1c1e-4bcb-84e4-81bcd9efab30,Ólafur Arnalds,1227146,,"ambient, instrumental, post-rock, classical, contemporary classical, neoclassical, modern classical, neo-classical",2006,INSTR
0cmWgDlu9CwTgxPhf403hb,9a709693-b4f8-4da9-8cc1-038c911a61be,Bonobo,2116802,,"downtempo, electronic, trip-hop, chillout, electronica, ambient electronic, lounge, ambient",1999,INSTR
48X5F0qQKZ4by158P2Zbw5,3648db01-b29d-4ab9-835c-83f6a5068fe4,Godspeed,977516,,"post-rock, instrumental, ambient, post rock, drone, experimental rock, avant-garde, atmospheric",1994,INSTR
6kBDZFXuLrZgHnvmPu9NsG,f22942a1-6f70-4f48-866e-238cb2308fbd,Aphex Twin,3112372,,"electronic, idm, ambient, electronica, techno, ambient techno, acid techno, acid",1985,INSTR
43ZHCT0cAZBISjO8DG9PnE,01809552-4f87-45b0-afff-2c6f0730a3be,Elvis Presley,4603549,,"rock n roll, classic rock, rock, rock and roll, rockabilly, country",1954,ENG
6S2OmqARrzebs0tKUEyXyp,faf4cefb-036c-4c88-b93a-5b03dd0a0e6b,Demi Lovato,3580288,,"pop, pop rock, rock, teen pop, dance",2008,ENG
0ECwFtbIWEVNwjlrfc6xoL,f46bd570-5768-462e-b84c-c7c993bbf47e,Eagles,3964151,,"classic rock, rock, soft rock, country, country rock, folk rock, southern rock",1971,ENG
6eUKZXaKkcviH0Ku9w2n3V,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Ed Sheeran,4346199,,"pop, grime, folk, indie, alternative",2004,ENG
61J0BktHv7PuP3tjTPYXSX,3ab7295a-54ac-40e8-b1b2-3d110a143550,Eros Ramazzotti,623349,,"pop, italian pop, pop rock",1981,ITA
4tuJ0bMpJh08umKkEXKUI5,f7441bc7-d7de-4813-a2fc-31a4033d396d,Gracie Abrams,1929296,,"pop, indie pop, indie, folk",2019,ENG
00FQb4jTyendYWaN8pK0wa,b7539c32-53e7-4908-bda3-81449c367da6,Lana Del Rey,5443671,,"indie, indie pop, pop, alternative, dream pop, trip-hop",2005,ENG
6tbjWDEIzxoDsBA1FuhfPW,79239441-bfd5-4981-a70c-55c3f15c1287,Madonna,5874150,,"pop, dance, electronic",1979,ENG
6XpaIBNiVzIetEPCWDvAFP,0307edfc-437c-4b48-8700-80680e66a228,Whitney Houston,3326262,,"pop, soul, rnb, dance",1977,ENG
5pKCCKE2ajJHZ9KAiaK11H,73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,8516768,,"pop, rnb, dance, hip-hop, r&b, hip hop, reggae",2003,ENG
5YGY8feqx7naU7z4HrwZM6,7e9bd05a-117f-4cce-87bc-e011527a8b18,Miley Cyrus,4990241,,"pop, dance, pop rock",2006,ENG
1Xyo4u8uXC1ZmMpatF05PJ,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,The Weeknd,5527674,,"rnb, electronic, dubstep, pop, r&b, soul, hip-hop",2009,ENG
790FomKkXshlbRYZFtlgla,de22adae-f8ac-414f-b653-b0162611bd60,KAROL G,1541508,,"reggaeton, latin, pop, latin pop, trap latino, reggaeton colombiano, dancehall",2007,ESP
7okwEbXzyT2VffBmyQBWLz,55441123-89a2-49ab-ae3f-df7a3e86835a,Maná,910185,,"rock, latin, latin rock, rock en espanol, pop",1986,ESP
3BmGtnKgCSGYIUhmivXKWX,d339efbb-77b9-4147-ba9e-59f2f24550b2,Kelly Clarkson,4625255,,"pop, pop rock, rock, alternative",2002,ENG
32vWCbZh0xZ4o9gkz4PsEU,1d543e07-d0d2-4834-a8db-d65c50c2a856,Dolly Parton,2379074,,"country, folk, pop",1956,ENG
